stationReference,lat,long
4058,53.013888,-1.738962
2005,52.724474,-2.872198
L1322,53.668661,-1.472656
762006,54.667313,-2.659359
E8241,51.041711,-0.097823
F1608,53.85124,-1.842838
E73439,54.031798,-2.920253
E73424,54.03183,-2.92025
690350,53.494067,-2.375559
50153,51.016893,-3.822486
1502TH,51.708312,-1.232825
2228,52.298087,-2.55805
E22008,52.669401,0.995655
L1545,53.914547,-2.144584
E22885,51.727462,0.441028
53153,51.554844,-2.092255
E22504,52.077093,0.491629
5522TH,51.583879,0.172001
E4976,53.125717,-0.052667
50116,50.946265,-4.137186
L3203,53.739883,-0.330677
4146,53.0832,-1.32769
2890TH,51.517498,-0.476763
E22727,51.997863,0.578311
2989TH,51.374167,-0.478479
E14530,50.824241,-1.576864
F1102,53.67527,-1.738074
E3003,52.720446,-0.363945
4011,53.124099,-1.557929
45119,50.8432,-3.392156
E4804,52.939133,0.029724
067624_TG 126,53.08308,-2.879119
712170,53.854769,-2.158987
L2307,54.401122,-1.776606
L2803,53.819066,-0.927565
2886TH,51.598796,-0.376829
3369TH,51.375687,-0.264339
3820TH,51.577539,-0.217549
3850TH,51.551558,-0.267837
E1656,53.005364,-0.022347
L1721,53.740078,-1.366226
3880TH,51.508638,-0.342569
023058,54.918811,-2.328264
4086,52.573856,-1.13453
737536,54.307391,-3.091306
024005,54.742586,-1.59921
E1521,52.227978,-0.934098
47125,50.34269,-4.005399
4049,53.309224,-1.138194
E26141,52.145941,-0.521734
694460,53.384181,-2.825909
E21325,52.147499,-0.708027
L3602,54.512373,-1.355879
L1907,54.143807,-2.050474
712221,53.794282,-2.306373
L2024,53.874564,-1.253163
5141TH,51.878177,0.160906
4174,52.619792,-1.146475
5171TH,51.795404,0.134177
L3491,53.727084,-0.585836
2601TH,51.560993,-0.694635
E23327,52.958281,0.849573
1303TH,51.74909,-1.272781
2469_w2TH,51.377564,-0.952526
4389TH,51.45563,0.00613
023011,55.245179,-2.561466
E5320,53.144479,0.086945
48184,50.336116,-4.633573
E13810,51.166603,-1.441818
2293TH,51.385195,-1.002649
E14521,50.763011,-1.536709
E21042,52.131783,-0.962049
49131,50.640424,-4.675182
E4832,52.229209,-1.080484
2813TH,51.838108,-0.461149
F0605,53.413872,-1.415842
F2560,54.260305,-0.919219
E21005,52.131206,0.205231
531159,51.421461,-2.492956
L2200,54.053636,-1.288144
E10389,50.999232,-0.786847
5280TH,51.770008,0.006126
52113,51.023159,-2.565568
45235,50.841739,-2.916366
021033,55.546346,-2.010726
E21724,52.093158,0.292511
3223TH,51.110238,-0.153871
F3480,53.77313,-0.651055
2809TH,51.706896,-0.217824
E19031,52.175048,0.01962
2024,52.555203,-2.376056
2618,51.887415,-2.252167
E23726,52.031808,-1.132641
E2223,52.244802,-0.905866
690207,53.62694,-2.13755
47116,50.635525,-4.279753
531112,51.438369,-2.003555
L1304,53.677173,-1.491306
L1800,53.71643,-0.908963
50135,51.055152,-3.795036
E24302,52.318507,-0.176335
2250TH,51.401605,-1.323874
1408TH,52.167771,-1.212815
L1527,53.897872,-2.008295
53135,51.581999,-2.158019
E22152,52.432388,0.877025
44204,50.776561,-2.574345
692348,53.357485,-1.996738
4091TH,51.47009,-0.245065
2004TH,51.486605,-1.088869
F1715,53.747992,-1.448902
720780,53.938698,-2.955067
43122,51.202428,-1.958392
E15260,51.450401,0.173287
5541TH,51.546517,0.183966
46122,50.479033,-3.761402
2831,52.74738,-2.971662
L0668,53.467219,-1.473784
E12483,50.969991,-1.33715
49122,50.516694,-4.834988
E4823,52.529248,-0.758769
L0904,53.596385,-1.063688
0009,51.462258,-0.316193
48138,50.131125,-5.255319
5355TH,51.643461,-0.095003
43210,50.853069,-2.167089
L1207,53.710539,-2.101856
L1703,53.731002,-1.358177
2646,52.28899,-2.418688
024024,54.634236,-1.742024
744312,54.440158,-3.529373
692190,53.413802,-2.058026
692524,53.407306,-2.174445
2015,52.114425,-2.108012
F2106,54.038156,-1.650292
2609,52.313513,-1.314911
44107,50.789421,-2.750022
2511,51.91699,-2.086745
L2043,53.883728,-1.440943
4382TH,51.405031,0.056251
4868TH,51.875292,-0.062702
E2710,52.731094,-0.419825
723423,54.314107,-2.555012
51110,51.155718,-3.302248
44232,50.710531,-1.992859
E714,51.108316,0.172486
L0807,53.543567,-1.369767
E8970,50.877166,0.012884
50126,51.073179,-4.041276
L3807,54.488529,-1.135197
53126,51.399488,-2.447727
46150,50.486806,-3.568943
L2725,54.23945,-0.717218
762600,54.898639,-2.932277
49150,50.832964,-4.558854
5190TH,51.764828,0.015113
43113,51.17155,-1.785174
2620TH,51.433827,-0.773574
022009,55.308429,-1.895992
4378TH,51.383249,0.072664
2199TH,51.486033,-1.039654
743008,54.422403,-3.334074
49113,50.844477,-4.509166
E21284,51.61221,0.52337
48129,50.252215,-5.041246
2802TH,51.602909,-0.384264
690138,53.705772,-2.286263
4207,53.010442,-1.024175
750605,54.565937,-3.063696
E1406,53.228743,-0.528903
L17033,53.79812,-1.629518
F2505,54.203845,-0.937557
730120,54.36176,-2.771951
E2613,52.666216,-0.280199
45217,50.747683,-3.110915
47172,50.550641,-4.14273
770500,55.009258,-2.963066
5308TH,51.713361,-0.060582
024015,54.633826,-1.719549
E23151,52.188599,1.451217
3090TH,51.37248,-0.466322
E23745,52.676627,0.36647
762540,54.912827,-2.893015
47135,50.585989,-4.106699
1431TH,52.017279,-1.380792
E72439,51.211131,-4.112362
E72424,51.21114,-4.11239
F0304,53.366838,-1.352044
L1546,53.918527,-2.130286
2131,52.211373,-2.215962
53154,51.578233,-2.074985
2941TH,51.361518,-0.689296
L0204,53.239901,-1.420925
E21187,51.907687,-0.668546
50117,50.882269,-4.065162
L3204,53.843243,-0.399574
023021,54.974805,-2.023395
4020TH,51.380413,-0.243611
680301,52.983736,-2.518888
713030,53.752898,-2.680437
4050TH,51.391152,-0.216322
4012,52.75692,-1.805399
4080TH,51.431619,-0.25215
E7842,50.912658,0.290758
F2570,54.303695,-1.000302
694744,53.47815,-2.918171
E21609,52.133733,-0.460042
E21511,52.058687,-0.714748
2937TH,51.386331,-0.501357
L2210,54.09673,-1.394627
692418,53.542889,-2.009008
E21238,52.590375,1.436891
2569TH,51.635574,-0.753691
2169,52.381603,-2.724237
2071,51.922936,-2.265002
E23277,52.181244,1.008338
E2270,51.148275,0.682267
4087,52.524933,-1.911514
1020TH,51.886693,-1.767911
2034,52.385318,-2.337878
737537,54.284617,-3.085173
F2125,53.971111,-1.38968
024006,54.746819,-2.074526
E8010,50.888318,0.244134
48110,50.333505,-5.137115
E1782,52.470494,-0.909111
52211,51.112337,-2.451073
690713,53.474178,-2.228957
2894TH,51.440219,-0.535292
E1151,53.713268,-0.304607
L1810,53.697129,-0.989661
055028_TG 9302,52.137017,-2.488532
E1708,53.106632,0.0137
1801TH,51.648617,-1.210808
F2807,54.019124,-0.885796
E2085,52.808232,0.210573
E24795,52.232016,1.183613
4040,53.017569,-2.162134
48185,50.081307,-5.125068
713119,53.744388,-2.490462
F3504,54.544622,-1.928854
L2373,54.373262,-1.705009
49132,50.410447,-4.394551
681003,53.169457,-2.104665
L1389,53.721955,-1.715052
E10440,50.992202,-0.674476
0019,51.514457,0.723335
