dateTime,measure,value
2022-11-25T04:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/50114-level-stage-i-15_min-m,0.803
2022-11-25T04:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/46124-level-stage-i-15_min-m,1.059
2022-11-25T04:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/43217-level-stage-i-15_min-m,0.216
2022-11-25T04:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/FWPCD01_FW-level-stage-i-15_min-m,0.150
2022-11-25T04:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/2206-level-downstage-i-15_min-mASD,0.268
2022-11-25T04:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/49174-level-stage-i-15_min-m,0.559
2022-11-25T04:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/48119-level-1-i-15_min-m,0.000
2022-11-25T04:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/44206-level-stage-i-15_min-m,0.448
2022-11-25T04:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/43226-level-stage-i-15_min-m,0.683
2022-11-25T04:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/43120-level-stage-i-15_min-m,0.617
2022-11-25T04:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/432520-flow-water-i-15_min-m3_s,0.983
2022-11-25T04:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/43116-level-stage-i-15_min-m,0.209
2022-11-25T04:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/E46643-level-stage-i-1_h-mAOD,14.097
2022-11-25T04:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/45127-level-tidal_level-i-15_min-mAOD,0.348
2022-11-25T04:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/49120-level-stage-i-15_min-m,0.644
2022-11-25T04:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/47121-level-stage-i-15_min-m,0.754
2022-11-25T04:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/48158-level-stage-i-15_min-m,0.891
2022-11-25T04:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/50146-level-stage-i-15_min-m,0.509
2022-11-25T04:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/48141-level-stage-i-15_min-m,0.074
2022-11-25T04:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/45124-level-stage-i-15_min-m,0.705
2022-11-25T04:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/48129-level-stage-i-15_min-m,2.069
2022-11-25T04:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/48129-level-sump_level-i-15_min-m,2.086
2022-11-25T04:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/50134-level-stage-i-15_min-m,0.415
2022-11-25T04:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/47136-level-stage-i-15_min-m,1.004
2022-11-25T04:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/44131-level-stage-i-15_min-m,0.351
2022-11-25T04:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/50121-level-stage-i-15_min-m,0.698
2022-11-25T04:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/44113-level-stage-i-15_min-mASD,0.063
2022-11-25T04:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/50181-wind-speed-i-15_min-Knots,1.900
2022-11-25T04:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/49179-level-stage-i-15_min-m,0.120
2022-11-25T04:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/448301-flow-water-i-15_min-m3_s,1.547
2022-11-25T04:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/2513-level-stage-i-15_min-mASD,0.468
2022-11-25T04:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/50180-level-tidal_level-i-15_min-m,0.511
2022-11-25T04:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/43216-level-stage-i-15_min-m,0.328
2022-11-25T04:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/50125-level-stage-i-15_min-m,0.900
2022-11-25T04:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/49116-level-tidal_level-i-15_min-mAOD,2.296
2022-11-25T04:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/48122-level-stage-i-15_min-m,0.737
2022-11-25T04:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/48138-level-stage-i-15_min-m,0.563
2022-11-25T04:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/47129-level-stage-i-15_min-m,0.489
2022-11-25T04:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/44122-level-stage-i-15_min-m,0.318
2022-11-25T04:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/48108-level-stage-i-15_min-m,1.164
2022-11-25T04:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/50130-level-stage-i-15_min-m,0.534
2022-11-25T04:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/4703-level-stage-i-15_min-mASD,1.382
2022-11-25T04:00:00Z,http://environment.data.gov.uk/flood-monitoring/id/measures/E31349-level-stage-i-15_min-mAOD,59.038
